name,country,alpha_two_code,domains,web_pages,domain_count,top_level_domain,continent
Mount St. Mary's University,United States,US,['msmary.edu'],['http://www.msmary.edu/'],1,edu,North America
Robert Morris University Illinois,United States,US,['robertmorris.edu'],['http://www.robertmorris.edu/'],1,edu,North America
Northwest Florida State College,United States,US,['nwfsc.edu'],['http://www.nwfsc.edu/'],1,edu,North America
West Virginia Wesleyan College,United States,US,['wvwc.edu'],['http://www.wvwc.edu/'],1,edu,North America
Utica College,United States,US,['utica.edu'],['http://www.utica.edu/'],1,edu,North America
Career College of Northern Nevada,United States,US,['ccnn.edu'],['http://www.ccnn.edu/'],1,edu,North America
College of Southern Nevada,United States,US,['csn.edu'],['https://www.csn.edu/'],1,edu,North America
University of North Georgia,United States,US,['ung.edu'],['http://www.ung.edu/'],1,edu,North America
The Principia,United States,US,['principia.edu'],['http://www.principia.edu/'],1,edu,North America
Lynn University,United States,US,['lynn.edu'],['http://www.lynn.edu/'],1,edu,North America
Colorado Community College System,United States,US,['cccs.edu'],['http://www.cccs.edu/'],1,edu,North America
Valencia College,United States,US,['valenciacollege.edu'],['http://www.valenciacollege.edu/'],1,edu,North America
St. Petersburg College,United States,US,['spcollege.edu'],['http://www.spcollege.edu/'],1,edu,North America
Globe University & Minnesota School of Business,United States,US,['msbcollege.edu'],['http://www.msbcollege.edu/'],1,edu,North America
Everest College,United States,US,['everest.edu'],['http://www.everest.edu/'],1,edu,North America
Southwest Research Institute,United States,US,['swri.edu'],['http://www.swri.edu/'],1,edu,North America
American Public University System,United States,US,['apus.edu'],['http://www.apus.edu/'],1,edu,North America
Full Sail University,United States,US,['fullsail.edu'],['http://www.fullsail.edu/'],1,edu,North America
YTI Career Institute,United States,US,['yti.edu'],['http://www.yti.edu/'],1,edu,North America
Defense Language Institute Foreign Language Center,United States,US,['dliflc.edu'],['http://www.dliflc.edu/'],1,edu,North America
Columbus State University,United States,US,['columbusstate.edu'],['http://www.columbusstate.edu/'],1,edu,North America
Morehead State University,United States,US,['moreheadstate.edu'],['http://www.moreheadstate.edu/'],1,edu,North America
Colorado State University - Global Campus,United States,US,['csuglobal.edu'],['http://www.csuglobal.edu/'],1,edu,North America
North Dakota University System,United States,US,['ndus.edu'],['http://www.ndus.edu/'],1,edu,North America
University of Houston-Downtown,United States,US,['uhd.edu'],['http://www.uhd.edu/'],1,edu,North America
Stratford University,United States,US,['stratford.edu'],['http://www.stratford.edu/'],1,edu,North America
"California Polytechnic State University, Pomona",United States,US,['cpp.edu'],['http://www.cpp.edu/'],1,edu,North America
Baker College,United States,US,['baker.edu'],['http://www.baker.edu/'],1,edu,North America
The College of New Jersey,United States,US,['tcnj.edu'],['http://www.tcnj.edu/'],1,edu,North America
Abilene Christian University,United States,US,['acu.edu'],['http://www.acu.edu/'],1,edu,North America
Adelphi University,United States,US,['adelphi.edu'],['http://www.adelphi.edu/'],1,edu,North America
Agnes Scott College,United States,US,['agnesscott.edu'],['http://www.agnesscott.edu/'],1,edu,North America
Aiken Technical College,United States,US,['atc.edu'],['http://www.atc.edu/'],1,edu,North America
Air Force Institute of Technology,United States,US,['afit.edu'],['http://www.afit.edu/'],1,edu,North America
Alabama A&M University,United States,US,['aamu.edu'],['http://www.aamu.edu/'],1,edu,North America
Alabama State University,United States,US,['alasu.edu'],['http://www.alasu.edu/'],1,edu,North America
Alamo Colleges,United States,US,['aloma.edu'],['http://www.alamo.edu/'],1,edu,North America
Albertson College of Idaho,United States,US,['acofi.edu'],['http://www.acofi.edu/'],1,edu,North America
Albion College,United States,US,['albion.edu'],['http://www.albion.edu/'],1,edu,North America
